latitude,longitude,name
43.2691923,-2.9441028,mapmaching_24011787
43.2691923,-2.9441028,mapmaching_24011788
43.2691923,-2.9441028,mapmaching_24011789
43.2691923,-2.9441028,mapmaching_24011790
43.2691923,-2.9441028,mapmaching_24011791
43.2691923,-2.9441028,mapmaching_24011792
43.2691923,-2.9441028,mapmaching_24011793
43.2691923,-2.9441028,mapmaching_24011794
43.2691923,-2.9441028,mapmaching_24011795
43.2688967,-2.9452455,mapmaching_24011796
43.2688967,-2.9452455,mapmaching_24011797
43.2688967,-2.9452455,mapmaching_24011798
43.2688967,-2.9452455,mapmaching_24011799
43.2688967,-2.9452455,mapmaching_240117100
43.2688967,-2.9452455,mapmaching_240117101
43.2688967,-2.9452455,mapmaching_240117102
43.2688967,-2.9452455,mapmaching_240117103
43.2688967,-2.9452455,mapmaching_240117104
43.2688967,-2.9452455,mapmaching_240117105
43.2688967,-2.9452455,mapmaching_240117106
43.2688967,-2.9452455,mapmaching_240117107
43.2688967,-2.9452455,mapmaching_240117108
43.2688967,-2.9452455,mapmaching_240117109
43.2688967,-2.9452455,mapmaching_240117110
43.2688967,-2.9452455,mapmaching_240117111
43.2688967,-2.9452455,mapmaching_240117112
43.2688967,-2.9452455,mapmaching_240117113
43.2688967,-2.9452455,mapmaching_240117114
43.2688967,-2.9452455,mapmaching_240117115
43.2688967,-2.9452455,mapmaching_240117116
43.2688967,-2.9452455,mapmaching_240117117
43.2688967,-2.9452455,mapmaching_240117118
43.2688967,-2.9452455,mapmaching_240117119
43.2688967,-2.9452455,mapmaching_240117120
43.2688967,-2.9452455,mapmaching_240117121
43.2688967,-2.9452455,mapmaching_240117122
43.2688967,-2.9452455,mapmaching_240117123
43.2683666,-2.947094,mapmaching_240117124
43.2683666,-2.947094,mapmaching_240117125
43.2683666,-2.947094,mapmaching_240117126
43.2683666,-2.947094,mapmaching_240117127
43.2683666,-2.947094,mapmaching_240117128
43.2683666,-2.947094,mapmaching_240117129
43.2683666,-2.947094,mapmaching_240117130
43.2683666,-2.947094,mapmaching_240117131
43.2683666,-2.947094,mapmaching_240117132
43.2683666,-2.947094,mapmaching_240117133
43.2683666,-2.947094,mapmaching_240117134
43.2683666,-2.947094,mapmaching_240117135
43.2683666,-2.947094,mapmaching_240117136
43.2683666,-2.947094,mapmaching_240117137
43.2683666,-2.947094,mapmaching_240117138
43.2683666,-2.947094,mapmaching_240117139
43.2683666,-2.947094,mapmaching_240117140
43.2683666,-2.947094,mapmaching_240117141
43.2683666,-2.947094,mapmaching_240117142
43.2683666,-2.947094,mapmaching_240117143
43.2683666,-2.947094,mapmaching_240117144
43.2683666,-2.947094,mapmaching_240117145
43.2683666,-2.947094,mapmaching_240117146
43.2683666,-2.947094,mapmaching_240117147
43.2683666,-2.947094,mapmaching_240117148
