latitude,longitude,name
43.2677096667,-2.94836083333,prueba_080217
43.2677535,-2.948171,prueba_080217
43.2677841667,-2.947973,prueba_080217
43.2677998333,-2.94777333333,prueba_080217
43.2677921667,-2.94757116667,prueba_080217
43.2677636667,-2.94737016667,prueba_080217
43.2677145,-2.94717383333,prueba_080217
43.2676445,-2.9469875,prueba_080217
43.2675541667,-2.94681416667,prueba_080217
43.2674468333,-2.94665883333,prueba_080217
43.2673236667,-2.94652483333,prueba_080217
43.267192,-2.94641716667,prueba_080217
43.2670578333,-2.9463275,prueba_080217
43.2669265,-2.94624783333,prueba_080217
43.2668001667,-2.94617283333,prueba_080217
43.266679,-2.94610083333,prueba_080217
43.2665651667,-2.94603516667,prueba_080217
43.2664686667,-2.94599466667,prueba_080217
43.2663818333,-2.94599366667,prueba_080217
43.2663083333,-2.94604133333,prueba_080217
43.2662431667,-2.94611783333,prueba_080217
43.2661731667,-2.9461975,prueba_080217
43.2660916667,-2.94626666667,prueba_080217
43.2659976667,-2.94631566667,prueba_080217
43.2659,-2.94634083333,prueba_080217
43.2658046667,-2.94633916667,prueba_080217
43.2657171667,-2.946313,prueba_080217
43.2656391667,-2.94626916667,prueba_080217
43.26557,-2.946211,prueba_080217
43.2655115,-2.94614133333,prueba_080217
43.2654613333,-2.94606766667,prueba_080217
43.2654173333,-2.94599333333,prueba_080217
43.2653791667,-2.945923,prueba_080217
43.265348,-2.94586566667,prueba_080217
43.2653256667,-2.9458275,prueba_080217
43.2653115,-2.9458065,prueba_080217
43.2653046667,-2.94579683333,prueba_080217
43.2653016667,-2.94579483333,prueba_080217
43.2653,-2.94579483333,prueba_080217
43.2652993333,-2.94579533333,prueba_080217
43.2652985,-2.94579366667,prueba_080217
43.2652978333,-2.94579133333,prueba_080217
43.2652975,-2.94578966667,prueba_080217
43.265297,-2.94578883333,prueba_080217
43.2652966667,-2.94578766667,prueba_080217
43.2652963333,-2.94578716667,prueba_080217
43.265296,-2.94578633333,prueba_080217
43.2652955,-2.94578566667,prueba_080217
43.265295,-2.9457845,prueba_080217
43.2652943333,-2.94578266667,prueba_080217
43.2652938333,-2.94578033333,prueba_080217
43.2652936667,-2.945779,prueba_080217
43.2652928333,-2.945777,prueba_080217
43.2652928333,-2.94577566667,prueba_080217
43.265293,-2.94577416667,prueba_080217
43.2652931667,-2.94577416667,prueba_080217
43.2652931667,-2.94577366667,prueba_080217
43.2652931667,-2.94577283333,prueba_080217
43.265293,-2.945771,prueba_080217
43.2652933333,-2.94577083333,prueba_080217
43.2652938333,-2.94577066667,prueba_080217
43.2652938333,-2.94577016667,prueba_080217
43.2652936667,-2.945769,prueba_080217
43.2652936667,-2.94576966667,prueba_080217
43.265294,-2.94577,prueba_080217
43.2652946667,-2.945773,prueba_080217
43.2652946667,-2.94577483333,prueba_080217
43.2652948333,-2.94577583333,prueba_080217
43.2652943333,-2.945775,prueba_080217
43.2652935,-2.9457735,prueba_080217
43.2652925,-2.94577166667,prueba_080217
43.2652913333,-2.94576966667,prueba_080217
43.26529,-2.945767,prueba_080217
43.265288,-2.94576466667,prueba_080217
43.2652833333,-2.94575733333,prueba_080217
43.2652715,-2.94573783333,prueba_080217
43.2652523333,-2.94570766667,prueba_080217
43.2652266667,-2.9456695,prueba_080217
43.2651923333,-2.9456265,prueba_080217
43.2651506667,-2.945579,prueba_080217
43.2651013333,-2.945533,prueba_080217
43.2650448333,-2.9454905,prueba_080217
43.2649811667,-2.94545933333,prueba_080217
43.2649116667,-2.9454485,prueba_080217
43.2648356667,-2.94545433333,prueba_080217
43.2647556667,-2.94547433333,prueba_080217
43.2646701667,-2.94549866667,prueba_080217
43.2645796667,-2.94552616667,prueba_080217
43.2644848333,-2.94555616667,prueba_080217
43.2643855,-2.9455905,prueba_080217
43.2642821667,-2.94563033333,prueba_080217
43.2641745,-2.945673,prueba_080217
43.2640625,-2.94571766667,prueba_080217
43.2639461667,-2.94576483333,prueba_080217
43.2638261667,-2.94581583333,prueba_080217
43.2637063333,-2.94587066667,prueba_080217
43.2635888333,-2.945926,prueba_080217
43.2634766667,-2.94598116667,prueba_080217
43.2633675,-2.94603566667,prueba_080217
43.2632616667,-2.94608783333,prueba_080217
43.2631595,-2.94613583333,prueba_080217
43.2630606667,-2.9461795,prueba_080217
43.2629665,-2.946219,prueba_080217
43.262877,-2.94625566667,prueba_080217
43.2627928333,-2.94628966667,prueba_080217
43.2627148333,-2.94632083333,prueba_080217
43.2626456667,-2.9463495,prueba_080217
43.2625875,-2.946374,prueba_080217
43.2625425,-2.94639316667,prueba_080217
43.2625126667,-2.94640683333,prueba_080217
43.2624958333,-2.94641983333,prueba_080217
43.2624866667,-2.94642633333,prueba_080217
43.2624816667,-2.9464305,prueba_080217
43.2624798333,-2.94643183333,prueba_080217
43.2624783333,-2.94643283333,prueba_080217
43.2624771667,-2.946434,prueba_080217
43.2624721667,-2.94643733333,prueba_080217
43.2624596667,-2.94644283333,prueba_080217
43.2624398333,-2.94645316667,prueba_080217
43.262412,-2.94646566667,prueba_080217
43.2623776667,-2.94648,prueba_080217
43.2623413333,-2.94649283333,prueba_080217
43.2623081667,-2.94650733333,prueba_080217
43.2622778333,-2.94652083333,prueba_080217
43.262247,-2.9465325,prueba_080217
43.2622151667,-2.946546,prueba_080217
43.2621818333,-2.94656083333,prueba_080217
